Country,GDP_Per_Capita,Life_Expectancy,Literacy_Rate,GDP_Per_Capita_ZScore,Life_Expectancy_ZScore,Literacy_Rate_ZScore,Efficiency_Gap
Jamaica,8405.0,71.48,88.7,-0.11690456391022674,-0.24240354397160085,0.15487826280185316,-0.1254989800613741
Colombia,8249.0,77.72,95.6,-0.11693388713251464,0.6183990473212723,0.5274236292387557,0.7353329344537869
Equatorial Guinea,8229.0,63.71,95.3,-0.11693764651998743,-1.3142683090910932,0.5112260046110645,-1.1973306625711058
Thailand,7942.0,76.41,93.8,-0.1169915937302222,0.4376856828030564,0.43023788147260733,0.5546772765332786
Belize,7897.0,73.57,83.0,-0.11700005235203602,0.045910144458222384,-0.1528766051242843,0.1629101968102584
Azerbaijan,7365.0,74.43,99.8,-0.11710005205881265,0.16454639902743443,0.7541903740264361,0.2816464510862471
Ecuador,7210.0,77.39,93.6,-0.11712918731172689,0.5728758333586685,0.4194394650541462,0.6900050206703954
Mongolia,7005.0,72.12,99.2,-0.11716772103332315,-0.1541160987107932,0.7217951247710535,-0.03694837767747006
Botswana,6943.0,69.16,88.5,-0.11717937513448884,-0.5624455330420293,0.14407984638339205,-0.4452661579075404
Libya,6866.0,69.34,91.0,-0.11719384877625914,-0.5376146890624263,0.27906005161415404,-0.4204208402861671
Suriname,6843.0,73.63,94.4,-0.11719817207185287,0.054187092451423405,0.46263313072799067,0.1713852645232763
Fiji,6825.0,67.32,99.1,-0.1172015555205784,-0.8162719381668515,0.7163959165618226,-0.6990703826462731
Paraguay,6799.0,73.84,94.5,-0.11720644272429305,0.08315641042762699,0.4680323389372208,0.20036285315192004
South Africa,6667.0,66.14,95.0,-0.11723125468161356,-0.9790519153664645,0.49502837998337323,-0.861820660684851
Guatemala,6478.0,72.6,80.8,-0.11726678089323157,-0.08790051476518894,-0.27165918572735503,0.029366266128042634
Algeria,6095.0,76.26,81.4,-0.11733877316333581,0.41699331282005586,-0.23926393647197167,0.5343320859833917
Tonga,5921.0,72.89,99.4,-0.11737147983434922,-0.04789526613138464,0.7325935411895146,0.06947621370296458
Samoa,5887.0,71.7,99.1,-0.11737787079305298,-0.2120547346631984,0.7163959165618226,-0.09467686387014543
Iraq,5832.0,72.32,85.6,-0.1173882091086032,-0.1265262720667924,-0.012497191684292155,-0.009138062958189197
El Salvador,5744.0,72.1,89.1,-0.11740475041348354,-0.15687508137519485,0.17647509563877462,-0.039470330961711306
Lebanon,52822024.0,77.82,95.1,9.81043831919639,0.6321939606432726,0.5004275881926034,-9.178244358553117
Micronesia,5241.0,67.2,99.0,-0.11749929900842461,-0.8328258341532516,0.7109967083525924,-0.715326535144827
Indonesia,5074.0,71.15,96.0,-0.11753068989382254,-0.2879267579342045,0.549020462075678,-0.170396068040382
Jordan,4908.0,77.81,98.2,-0.11756189280984682,0.6308144693110738,0.6678030426787487,0.7483763621209206
Namibia,4816.0,67.39,91.5,-0.11757918599222172,-0.8066154988414497,0.3060560926603064,-0.689036312849228
Morocco,4763.0,75.31,73.8,-0.11758914836902466,0.28594163626104424,-0.6496037603734885,0.4035307846300689
Tunisia,4752.0,76.51,81.8,-0.11759121603213471,0.4514805961250588,-0.2176671036350502,0.5690718121571935
Vietnam,4745.0,74.59,95.8,-0.11759253181775019,0.18661826034263584,0.5382220456572169,0.30421079216038605
Bolivia,4585.0,68.58,92.5,-0.11762260691753264,-0.6424560303096359,0.36004817475261125,-0.5248334233921033
Eswatini,4410.0,64.12,88.4,-0.11765550155791968,-1.2577091644708878,0.13868063817416187,-1.140053662912968
Sri Lanka,43252024.0,77.48,92.3,8.011571413458869,0.5852912553484702,0.3492497583341501,-7.426280158110399
Philippines,4321.0,69.83,96.3,-0.11767223083217367,-0.47001961378462115,0.5652180867033693,-0.3523473829524475
Bhutan,4285.0,72.97,66.6,-0.11767899772962472,-0.03685933547378393,-1.0383467514380833,0.08081966225584078
Iran,4074.0,77.65,85.5,-0.11771865926746282,0.6087426079958723,-0.017896399893522326,0.7264612672633352
Uzbekistan,3647.0,72.39,100.0,-0.11779892219000722,-0.11686983274139055,0.7649887904448972,0.0009290894486166656
Honduras,3637.0,72.88,88.5,-0.11780080188374362,-0.049274757463585464,0.14407984638339205,0.06852604442015815
Ghana,3193.0,65.5,79.0,-0.1178842602856399,-1.067339360627272,-0.3688449334935035,-0.9494551003416322
Egypt,3191.0,71.63,71.2,-0.11788463622438719,-0.22171117398860024,-0.7899831738134807,-0.10382653776421305
Vanuatu,3133.0,71.48,87.5,-0.11789553844805832,-0.24240354397160085,0.09008776429108727,-0.12450800552354253
Venezuela,3103.0,72.51,97.1,-0.11790117752926753,-0.10031593675498851,0.608411752377213,0.017585240774279018
Nicaragua,2953.0,74.95,82.6,-0.11792937293531358,0.23627994830184004,-0.17447343796120654,0.35420932123715365
Angola,2931.0,64.62,71.1,-0.11793350826153366,-1.1887345978608819,-0.7953823820227116,-1.0708010895993483
India,2818.0,72.0,74.4,-0.11795474880075502,-0.17066999469719524,-0.6172085111181053,-0.05271524589644022
Cambodia,2812.0,70.67,80.5,-0.11795587661699686,-0.35414234187981075,-0.2878568103550463,-0.2361864652628139
Kyrgyzstan,2790.0,72.25,99.6,-0.11796001194321694,-0.1361827113921923,0.7433919576079749,-0.018222699448975352
Bangladesh,2734.0,74.67,74.66,-0.1179705382281408,0.19765419100023657,-0.6031705697741064,0.31562472922837737
Zimbabwe,2656.0,62.77,86.5,-0.11798519983928474,-1.443940494317904,0.03609568219878247,-1.3259552944786193
Mauritania,2582.0,68.48,53.5,-0.11799910957293412,-0.6562509436316363,-1.7456430268472758,-0.5382518340587021
Papua New Guinea,2555.0,66.13,64.2,-0.11800418474602241,-0.9804314066986652,-1.1679277484596142,-0.8624272219526429
Kenya,2549.0,63.65,81.5,-0.11800531256226425,-1.3225452570842942,-0.2338647282627415,-1.20453994452203
Haiti,2461.0,64.94,61.7,-0.1180218538671446,-1.144590875230479,-1.3029079536903763,-1.0265690213633343
Solomon Islands,2386.0,70.53,77.0,-0.11803595157016762,-0.3734552205306125,-0.4768290976781131,-0.25541926896044487
Laos,2174.0,68.96,84.7,-0.11807580107737936,-0.590035359686032,-0.06109006556736601,-0.4719595586086527
Cameroon,2027.0,63.7,77.1,-0.11810343257530448,-1.315647800423293,-0.4714298894688829,-1.1975443678479885
Senegal,1921.0,68.68,51.9,-0.11812335732891036,-0.6286611169876336,-1.8320303581949635,-0.5105377596587233
Comoros,1773.0,66.78,58.8,-0.11815117679620911,-0.8907644701056568,-1.4594849917580606,-0.7726132933094477
Guinea,1741.0,60.74,39.6,-0.1181571918161656,-1.7239772347545281,-2.496132967930312,-1.6058200429383624
Pakistan,1707.0,67.65,58.0,-0.11816358277486937,-0.7707487242042459,-1.5026786574319042,-0.6525851414293765
Tajikistan,1644.0,71.79,99.8,-0.11817542484540872,-0.19963931267339688,0.7541903740264361,-0.08146388782798816
Benin,1635.0,60.77,42.4,-0.11817711656977148,-1.7198387607579275,-2.344955138071859,-1.6016616441881562
Nepal,1535.0,70.35,67.9,-0.1181959135071355,-0.39828606451021553,-0.9681570447180864,-0.28009015100308005
Timor-Leste,1508.0,67.69,68.1,-0.11820098868022379,-0.7652307588754466,-0.957358628299626,-0.6470297701952228
Uganda,1353.0,68.25,76.5,-0.11823012393313803,-0.6879792442722396,-0.5038251387242655,-0.5697491203391015
Zambia,1353.0,66.35,86.7,-0.11823012393313803,-0.9500825973902629,0.04689409861724358,-0.8318524734571249
Guinea-Bissau,1225.0,64.08,59.9,-0.11825418401296399,-1.263227129799689,-1.4000937014565251,-1.144972945786725
Nigeria,1200.0,54.46,62.0,-0.11825888324730499,-2.5902977913762024,-1.286710329062685,-2.4720389081288974
Chad,1139.0,55.07,22.3,-0.11827034937909706,-2.5061488201119952,-3.4301959881271853,-2.387878470732898
Togo,1120.0,62.74,66.5,-0.11827392079719622,-1.4480789683145046,-1.0437459596473133,-1.3298050475173084
Burkina Faso,1115.0,61.09,39.3,-0.11827486064406442,-1.6756950381275237,-2.512330592558004,-1.5574201774834593
Myanmar,1097.0,66.89,89.1,-0.11827824409278995,-0.8755900654514556,0.17647509563877462,-0.7573118213586656
Rwanda,1043.0,67.78,73.2,-0.11828839443896652,-0.752815336885645,-0.6819990096288712,-0.6345269424466784
Mali,1014.0,60.44,35.5,-0.1182938455508021,-1.7653619747205322,-2.717500504508762,-1.6470681291697302
Lesotho,1001.0,57.38,79.4,-0.11829628915265941,-2.187486322373768,-0.34724810065658124,-2.0691900332211084
Ethiopia,994.0,67.31,51.8,-0.11829760493827489,-0.8176514294990505,-1.837429566404194,-0.6993538245607755
Sierra Leone,980.0,61.79,43.2,-0.11830023650950586,-1.579130644873516,-2.301761472398015,-1.4608304083640102
Liberia,904.0,62.16,48.3,-0.11831452218190253,-1.528089465582112,-2.026401853727261,-1.4097749434002096
Gambia,890.0,65.86,50.8,-0.11831715375313348,-1.0176776726680679,-1.8914216484964987,-0.8993605189149344
Niger,789.0,61.18,35.1,-0.11833613865987115,-1.6632796161377232,-2.739097337345684,-1.544943477477852
DR Congo,772.0,61.9,77.0,-0.11833933413922304,-1.5639562402193148,-0.4768290976781131,-1.4456169060800916
Somalia,763.0,58.82,39.0,-0.1183410258635858,-1.988839570536951,-2.5285282171856953,-1.8704985446733653
Sudan,712.0,66.33,60.7,-0.11835061230164146,-0.9528415800546626,-1.356900035782681,-0.8344909677530211
Mozambique,690.0,63.61,60.7,-0.11835474762786154,-1.3280632224130946,-1.356900035782681,-1.2097084747852331
Malawi,622.0,67.35,62.1,-0.11836752954526908,-0.812133464170251,-1.2813111208534544,-0.6937659346249819
Madagascar,616.0,63.63,76.7,-0.11836865736151092,-1.3253042397486938,-0.49302672230580435,-1.206935582387183
Central African Republic,599.0,57.41,37.4,-0.11837185284086281,-2.1833478483771684,-2.614915548533383,-2.064975995536306
Burundi,486.0,63.65,68.4,-0.11839309338008416,-1.3225452570842942,-0.941161003671934,-1.20415216370421
Afghanistan,4172024.0,66.03,37.3,0.66572829159656,-0.9942263200206657,-2.6203147567426135,-1.6599546116172257
South Sudan,313.0,57.62,34.5,-0.11842561208172393,-2.1543785304009657,-2.7714925866010667,-2.035952918319242
